accommodates,bedrooms,beds,minimum_nights,maximum_nights,review_scores_rating,availability_30,review_scores_cleanliness,availability_60,availability_90,availability_365,priceClass
7,1.0,5.0,2,31,4.88,14,4.93,37,63,153,1.0
4,2.0,2.0,4,30,4.92,3,4.83,4,4,78,1.0
1,1.0,1.0,1,15,4.72,0,4.83,0,0,0,0.0
4,1.0,2.0,2,31,4.89,15,4.95,38,68,158,0.0
6,2.0,3.0,1,365,4.88,4,4.98,25,51,310,1.0
4,1.0,2.0,1,365,4.83,7,4.97,18,37,299,1.0
4,1.0,2.0,1,28,4.91,5,4.91,21,36,269,0.0
3,1.0,3.0,2,31,4.87,4,4.97,32,62,337,0.0
4,1.0,2.0,1,365,4.69,12,4.96,42,67,342,1.0
4,1.0,1.0,1,365,4.95,10,5.0,31,50,316,1.0
4,1.0,2.0,1,365,4.78,10,4.98,36,62,337,1.0
10,5.0,5.0,3,1125,4.56,11,4.56,27,46,306,1.0
4,1.0,2.0,1,365,4.95,0,5.0,0,0,0,1.0
6,2.0,3.0,1,365,4.69,4,4.82,21,51,133,1.0
6,2.0,3.0,1,365,4.8,7,4.97,27,42,301,1.0
4,1.0,2.0,1,365,4.65,3,4.9,25,55,140,1.0
1,1.0,1.0,1,66,4.83,11,4.72,11,11,11,0.0
6,2.0,3.0,1,365,4.97,9,5.0,29,45,175,1.0
2,1.0,1.0,1,14,4.84,16,4.74,18,18,18,0.0
6,2.0,3.0,1,365,4.85,4,4.98,14,29,278,1.0
2,1.0,1.0,1,21,4.61,21,4.58,21,21,21,0.0
4,1.0,2.0,1,365,4.96,8,5.0,27,46,307,1.0
4,1.0,2.0,1,365,4.67,8,4.85,38,68,153,1.0
6,2.0,3.0,1,365,4.87,2,4.92,11,15,269,1.0
4,1.0,2.0,1,365,4.94,0,4.94,0,0,0,1.0
4,1.0,2.0,2,1125,4.97,6,5.0,36,61,333,1.0
12,4.0,9.0,2,45,4.94,9,4.91,25,42,299,1.0
4,1.0,2.0,1,365,4.89,4,4.97,22,42,308,1.0
4,2.0,2.0,2,365,5.0,3,5.0,10,10,201,1.0
4,2.0,2.0,2,365,4.64,14,5.0,37,60,330,1.0
4,2.0,2.0,2,365,4.46,7,4.69,28,46,315,1.0
4,2.0,2.0,2,365,5.0,8,5.0,31,41,313,1.0
4,2.0,2.0,2,365,4.86,6,4.71,31,55,328,1.0
4,1.0,2.0,1,365,4.91,7,4.96,24,50,313,1.0
6,2.0,3.0,1,365,4.9,11,4.97,36,65,141,1.0
4,2.0,2.0,2,1125,4.38,9,4.63,30,60,335,0.0
2,1.0,1.0,1,30,4.92,4,4.93,27,53,125,0.0
16,4.0,12.0,2,365,5.0,3,5.0,10,28,281,1.0
8,3.0,3.0,2,10,5.0,0,5.0,20,50,230,1.0
10,4.0,6.0,2,365,5.0,8,5.0,35,65,332,1.0
6,3.0,4.0,2,365,4.92,2,4.92,26,41,291,1.0
6,2.0,2.0,1,365,4.91,4,4.91,16,39,113,1.0
4,2.0,2.0,2,365,4.33,8,5.0,22,37,308,1.0
4,2.0,3.0,2,365,4.17,3,4.33,20,34,297,1.0
8,3.0,4.0,1,365,4.7,2,4.81,18,26,240,1.0
6,3.0,3.0,2,365,5.0,12,4.92,36,58,307,1.0
4,2.0,2.0,2,30,4.87,12,4.9,32,52,134,0.0
6,3.0,3.0,2,365,4.86,8,4.93,24,42,301,1.0
4,2.0,2.0,1,30,4.8,8,4.7,8,15,186,0.0
13,4.0,5.0,3,1125,4.93,8,4.91,21,37,178,1.0
4,2.0,2.0,2,1125,4.9,6,4.95,31,56,331,1.0
2,1.0,1.0,1,1125,4.96,2,4.96,24,54,317,1.0
2,1.0,1.0,1,1125,4.95,7,4.67,22,36,270,1.0
2,1.0,1.0,1,30,4.96,11,5.0,35,65,65,0.0
4,2.0,2.0,1,29,4.89,4,5.0,27,53,125,0.0
6,2.0,3.0,1,365,4.84,4,4.84,18,42,309,1.0
4,1.0,2.0,2,30,4.85,2,4.89,2,2,2,0.0
2,1.0,1.0,2,1125,4.96,0,4.98,7,37,37,0.0
2,1.0,1.0,2,1125,4.96,8,4.96,27,44,128,0.0
4,2.0,2.0,1,365,4.79,5,4.83,35,61,334,1.0
4,2.0,2.0,2,7,4.96,11,5.0,33,53,219,1.0
6,2.0,3.0,3,30,4.97,0,4.97,0,0,0,1.0
6,3.0,3.0,2,365,4.65,13,4.88,39,59,331,1.0
5,2.0,2.0,2,30,4.96,5,4.93,35,65,155,0.0
2,1.0,1.0,3,31,4.94,1,4.94,20,34,185,1.0
