accommodates,bedrooms,beds,minimum_nights,maximum_nights,review_scores_rating,availability_30,review_scores_cleanliness,availability_60,availability_90,availability_365,priceClass
4,1.0,2.0,1,365,4.66,7,4.89,35,63,163,1.0
6,2.0,3.0,1,365,4.97,7,5.0,28,45,197,1.0
6,2.0,3.0,1,365,4.84,6,4.98,14,36,177,1.0
4,1.0,2.0,1,365,4.96,10,5.0,27,49,307,1.0
4,1.0,2.0,1,365,4.64,11,4.84,39,69,172,0.0
6,2.0,3.0,1,365,4.87,7,4.92,9,25,279,1.0
4,1.0,2.0,1,365,4.94,7,4.94,27,57,158,1.0
4,1.0,2.0,2,1125,4.97,8,5.0,28,58,330,1.0
4,1.0,2.0,1,365,4.94,9,5.0,30,53,150,1.0
4,2.0,2.0,2,365,5.0,7,5.0,16,19,192,1.0
5,2.0,2.0,30,35,5.0,0,5.0,0,20,31,0.0
4,2.0,2.0,2,365,4.6,11,5.0,32,54,323,1.0
4,2.0,2.0,2,365,4.82,14,5.0,36,66,340,1.0
4,2.0,2.0,2,365,5.0,0,5.0,0,0,0,1.0
4,2.0,2.0,2,365,4.86,7,4.71,26,54,325,1.0
4,1.0,2.0,1,365,4.91,9,4.96,29,55,315,1.0
6,2.0,3.0,1,365,4.9,15,4.97,36,64,157,1.0
4,2.0,2.0,2,1125,4.29,7,4.57,30,60,335,0.0
2,1.0,1.0,1,30,4.92,3,4.93,20,49,121,0.0
16,4.0,12.0,2,365,5.0,5,5.0,12,24,276,1.0
8,3.0,3.0,2,10,5.0,0,5.0,0,0,78,1.0
10,4.0,6.0,2,365,5.0,14,5.0,33,63,332,1.0
6,3.0,4.0,2,365,4.92,6,4.92,19,41,290,1.0
6,2.0,2.0,1,365,4.9,2,4.9,17,42,131,1.0
4,2.0,2.0,2,365,4.33,14,5.0,32,51,323,1.0
4,2.0,3.0,2,365,4.0,9,4.2,25,48,309,1.0
8,3.0,4.0,1,365,4.69,8,4.81,17,33,250,1.0
6,3.0,3.0,2,365,5.0,2,4.92,23,50,297,1.0
4,2.0,2.0,2,30,4.87,9,4.9,29,55,131,0.0
6,3.0,3.0,2,365,4.85,18,4.92,35,54,315,1.0
4,2.0,2.0,1,30,4.83,13,4.67,19,19,179,0.0
13,4.0,5.0,3,1125,4.93,4,4.94,18,33,180,1.0
4,2.0,2.0,2,1125,4.89,1,5.0,22,52,327,1.0
2,1.0,1.0,1,1125,4.96,0,4.96,18,48,318,1.0
2,1.0,1.0,1,1125,4.95,16,4.63,34,55,280,1.0
2,1.0,1.0,1,30,4.97,9,5.0,34,64,64,0.0
4,2.0,2.0,1,29,4.89,4,5.0,20,49,121,0.0
6,2.0,3.0,1,365,4.83,5,4.83,16,43,195,1.0
4,1.0,2.0,2,30,4.88,1,4.91,2,2,2,0.0
2,1.0,1.0,2,1125,4.95,3,4.98,3,22,22,0.0
2,1.0,1.0,2,1125,4.96,10,4.96,38,66,156,0.0
4,2.0,2.0,1,365,4.79,9,4.82,32,59,163,1.0
4,2.0,2.0,2,7,4.95,7,5.0,29,55,221,1.0
6,2.0,3.0,3,30,4.97,0,4.97,0,0,0,1.0
6,3.0,3.0,2,365,4.63,8,4.88,32,62,333,1.0
5,2.0,2.0,2,30,5.0,15,4.93,36,66,156,0.0
7,2.0,3.0,2,14,5.0,2,5.0,2,2,2,1.0
3,1.0,2.0,2,15,5.0,2,5.0,2,2,2,1.0
3,1.0,1.0,2,14,4.94,3,5.0,3,3,51,1.0
2,1.0,1.0,3,31,4.93,3,4.93,3,3,144,1.0
3,1.0,1.0,2,1125,4.87,8,4.93,26,54,100,0.0
7,3.0,3.0,30,1125,5.0,9,5.0,9,37,127,1.0
2,1.0,2.0,30,1125,5.0,0,5.0,0,20,202,0.0
4,1.0,2.0,1,28,5.0,3,5.0,7,34,302,1.0
3,1.0,1.0,2,14,5.0,4,4.67,4,4,4,1.0
8,4.0,5.0,3,10,5.0,18,5.0,18,18,18,1.0
4,1.0,1.0,1,11,4.92,0,4.98,3,7,195,0.0
8,3.0,4.0,2,1125,4.95,0,4.95,7,31,287,1.0
8,3.0,3.0,1,365,5.0,5,4.93,12,25,255,1.0
4,1.0,2.0,1,365,4.87,10,4.94,23,53,208,1.0
13,4.0,7.0,2,60,4.76,4,4.95,22,39,296,1.0
4,2.0,3.0,2,365,5.0,0,5.0,0,4,190,1.0
2,1.0,1.0,1,1125,4.91,0,5.0,0,0,142,0.0
6,3.0,3.0,3,1125,4.84,13,4.78,23,48,315,1.0
4,2.0,2.0,2,365,4.71,12,5.0,34,61,333,1.0
2,1.0,1.0,1,365,5.0,14,5.0,38,68,309,1.0
2,1.0,1.0,2,365,5.0,20,5.0,37,65,305,1.0
2,1.0,1.0,1,365,5.0,21,5.0,35,65,309,1.0
2,1.0,1.0,1,1125,4.88,11,4.93,39,67,67,0.0
8,3.0,5.0,2,1125,4.22,22,5.0,50,80,355,1.0
2,1.0,1.0,1,365,5.0,21,5.0,46,75,321,1.0
2,1.0,1.0,1,22,4.88,6,4.96,7,7,7,0.0
7,2.0,4.0,29,1125,5.0,0,5.0,9,39,284,0.0
6,3.0,4.0,2,1125,4.81,6,4.88,22,52,313,1.0
2,1.0,1.0,60,90,4.33,0,4.33,1,1,210,0.0
5,3.0,3.0,29,1125,5.0,0,5.0,0,0,96,0.0
3,1.0,2.0,2,90,5.0,0,4.96,19,49,139,0.0
7,3.0,4.0,30,150,5.0,0,5.0,1,1,1,1.0
2,1.0,1.0,2,10,4.97,12,5.0,32,62,148,0.0
6,2.0,3.0,1,365,4.83,13,4.98,30,51,314,0.0
2,1.0,1.0,1,1125,5.0,0,5.0,6,13,226,0.0
3,1.0,1.0,2,15,5.0,0,5.0,0,0,0,1.0
4,2.0,2.0,2,5,5.0,4,5.0,23,50,136,0.0
10,4.0,6.0,3,1125,5.0,8,5.0,10,15,274,1.0
4,2.0,2.0,2,1125,5.0,0,4.67,0,23,298,0.0
8,3.0,5.0,1,365,4.77,9,4.89,23,44,181,1.0
4,2.0,2.0,2,1125,4.97,4,4.92,17,37,37,1.0
5,2.0,2.0,2,28,5.0,0,5.0,10,18,77,1.0
4,1.0,2.0,1,1125,4.98,3,5.0,14,32,105,0.0
9,3.0,5.0,3,1125,4.91,14,4.91,35,65,340,1.0
4,2.0,2.0,2,30,5.0,1,5.0,6,13,251,1.0
6,2.0,3.0,1,365,5.0,4,5.0,15,30,182,1.0
6,1.0,5.0,1,1125,4.9,15,4.94,45,75,349,0.0
10,4.0,6.0,3,1125,5.0,2,5.0,10,27,274,1.0
2,1.0,1.0,2,1125,4.56,18,4.17,48,78,353,0.0
4,1.0,2.0,1,7,4.91,0,4.91,0,0,0,0.0
4,2.0,2.0,2,1125,4.4,0,4.8,0,20,291,0.0
2,1.0,1.0,30,1125,5.0,11,5.0,41,71,251,1.0
6,1.0,2.0,2,10,4.94,16,4.94,38,67,152,0.0
4,1.0,2.0,2,7,5.0,14,5.0,35,65,152,1.0
6,3.0,3.0,3,28,5.0,0,4.92,23,53,143,0.0
2,1.0,1.0,2,1125,5.0,4,4.95,5,5,22,0.0
4,2.0,2.0,30,180,5.0,0,5.0,0,0,3,0.0
2,1.0,1.0,2,30,5.0,2,5.0,2,2,256,0.0
6,1.0,3.0,2,1125,4.97,0,5.0,12,30,188,1.0
2,1.0,1.0,2,14,5.0,7,5.0,10,22,174,0.0
6,2.0,2.0,1,365,4.9,7,5.0,17,45,202,1.0
8,4.0,5.0,2,1125,5.0,10,5.0,37,58,331,1.0
6,3.0,2.0,1,365,4.57,18,5.0,41,66,217,1.0
6,2.0,3.0,1,365,4.79,8,4.97,25,46,310,0.0
4,1.0,2.0,1,1125,5.0,0,4.97,5,12,67,1.0
4,1.0,2.0,2,7,5.0,1,5.0,21,51,326,0.0
5,2.0,3.0,28,1125,5.0,0,5.0,0,13,288,1.0
2,1.0,1.0,2,1125,5.0,9,5.0,35,61,336,0.0
4,1.0,2.0,1,1125,4.86,4,4.86,17,38,183,0.0
5,2.0,2.0,2,28,5.0,3,5.0,10,19,78,1.0
4,2.0,2.0,3,8,4.65,18,4.41,46,73,73,1.0
4,1.0,2.0,2,28,5.0,5,5.0,19,27,91,1.0
4,1.0,2.0,2,28,4.94,10,5.0,21,32,93,1.0
5,2.0,2.0,2,28,5.0,5,5.0,10,21,78,1.0
6,2.0,3.0,1,365,4.89,3,5.0,12,16,258,1.0
4,2.0,2.0,1,365,4.5,10,5.0,25,55,302,1.0
4,2.0,2.0,2,31,5.0,10,5.0,18,34,164,1.0
4,2.0,2.0,2,7,5.0,16,5.0,45,75,130,0.0
2,1.0,1.0,2,5,5.0,5,4.97,14,39,114,0.0
3,1.0,2.0,2,1125,4.88,3,5.0,22,46,316,1.0
12,5.0,7.0,1,365,5.0,0,5.0,19,33,287,1.0
4,1.0,2.0,2,1125,5.0,13,5.0,36,66,341,0.0
4,1.0,1.0,1,1125,4.95,4,4.98,14,41,117,0.0
4,1.0,2.0,3,1125,4.96,4,4.89,6,31,31,0.0
3,1.0,1.0,2,28,4.94,5,5.0,16,32,93,1.0
4,2.0,2.0,2,1125,4.85,5,4.92,7,21,296,1.0
5,2.0,2.0,2,28,4.9,11,5.0,18,26,91,1.0
6,3.0,3.0,30,365,5.0,0,5.0,0,18,210,0.0
6,2.0,3.0,2,1125,5.0,12,5.0,28,58,333,1.0
2,1.0,1.0,2,7,5.0,11,5.0,29,59,88,1.0
8,2.0,2.0,3,1125,5.0,5,4.89,26,49,312,1.0
3,1.0,1.0,2,28,5.0,5,5.0,15,34,95,1.0
2,1.0,1.0,1,365,4.63,2,4.63,9,15,141,0.0
3,1.0,1.0,1,14,5.0,13,5.0,43,73,348,0.0
8,4.0,4.0,2,1125,4.43,5,4.29,26,50,319,1.0
8,3.0,5.0,2,1125,5.0,0,5.0,0,0,0,1.0
6,2.0,3.0,1,365,4.75,6,5.0,18,44,76,1.0
4,1.0,2.0,1,365,4.67,14,5.0,32,58,222,1.0
6,2.0,3.0,1,365,5.0,3,5.0,20,36,188,1.0
11,5.0,6.0,2,1125,5.0,11,5.0,27,45,299,1.0
4,1.0,1.0,1,7,5.0,10,5.0,31,58,58,1.0
6,2.0,3.0,1,365,5.0,2,5.0,2,2,32,1.0
12,3.0,6.0,1,1125,4.88,2,5.0,14,37,131,1.0
2,1.0,1.0,2,31,5.0,12,5.0,42,72,162,0.0
4,1.0,1.0,2,4,5.0,22,5.0,52,82,82,0.0
4,2.0,2.0,4,30,5.0,9,5.0,12,14,74,1.0
2,1.0,2.0,2,7,5.0,7,5.0,15,29,81,0.0
6,2.0,2.0,1,365,4.83,8,5.0,21,39,197,1.0
2,1.0,2.0,1,365,4.63,6,4.5,23,47,316,1.0
8,4.0,5.0,3,1125,5.0,6,5.0,10,33,188,1.0
6,2.0,3.0,1,365,5.0,1,5.0,12,36,198,1.0
4,2.0,2.0,2,1125,5.0,5,5.0,12,33,113,1.0
2,1.0,1.0,1,1125,5.0,1,5.0,1,20,20,0.0
2,1.0,1.0,2,365,5.0,9,5.0,34,61,146,1.0
8,2.0,3.0,1,365,5.0,6,5.0,23,53,217,1.0
4,1.0,2.0,2,1125,5.0,0,5.0,0,0,0,0.0
2,1.0,1.0,1,14,5.0,0,5.0,1,31,31,0.0
7,3.0,4.0,2,1125,5.0,4,5.0,14,39,284,1.0
7,3.0,4.0,2,1125,4.5,8,4.0,26,56,331,1.0
2,1.0,1.0,1,30,5.0,10,4.33,23,46,212,0.0
4,2.0,2.0,60,365,97.0,0,10.0,0,0,194,0.0
2,1.0,1.0,90,180,96.0,0,10.0,0,0,0,0.0
4,2.0,4.0,60,1125,97.0,0,10.0,0,0,83,1.0
4,2.0,2.0,30,1125,94.0,0,10.0,0,0,233,0.0
4,2.0,2.0,4,360,94.0,5,10.0,24,36,36,0.0
3,1.0,1.0,2,3,98.0,0,10.0,11,12,12,0.0
6,2.0,2.0,30,120,94.0,4,9.0,11,11,104,0.0
4,1.0,2.0,1,1125,98.0,5,10.0,11,21,233,0.0
6,2.0,2.0,2,90,94.0,13,9.0,22,41,129,1.0
4,1.0,1.0,1,1125,98.0,6,10.0,15,23,242,0.0
16,6.0,9.0,2,365,98.0,19,10.0,37,37,272,1.0
6,3.0,3.0,2,365,94.0,7,10.0,19,43,315,1.0
6,3.0,4.0,2,365,97.0,17,10.0,32,42,283,1.0
10,4.0,7.0,2,365,99.0,19,10.0,40,61,311,1.0
2,1.0,1.0,2,21,98.0,20,10.0,36,54,54,0.0
2,1.0,1.0,30,1125,100.0,0,10.0,17,47,322,0.0
2,1.0,1.0,2,1125,97.0,7,9.0,17,24,24,0.0
4,1.0,2.0,3,1125,96.0,4,10.0,34,64,154,0.0
4,2.0,2.0,1,1125,98.0,7,10.0,27,51,138,0.0
6,3.0,3.0,2,365,96.0,6,10.0,11,31,281,1.0
8,3.0,3.0,1,15,98.0,17,10.0,34,57,135,1.0
2,1.0,1.0,30,1125,97.0,1,9.0,16,26,195,0.0
3,2.0,2.0,1,1125,99.0,4,10.0,4,4,4,0.0
2,1.0,1.0,2,28,100.0,0,10.0,19,49,229,0.0
2,1.0,1.0,1,1125,98.0,0,10.0,0,0,0,1.0
3,1.0,2.0,1,21,100.0,6,10.0,18,42,295,1.0
2,1.0,1.0,1,1125,100.0,6,10.0,27,57,332,1.0
2,1.0,2.0,2,1125,98.0,11,10.0,33,57,327,0.0
2,1.0,1.0,1,1125,100.0,6,10.0,27,57,327,1.0
5,2.0,3.0,3,31,99.0,2,10.0,19,25,245,1.0
2,1.0,1.0,30,1125,97.0,0,9.0,0,0,229,0.0
2,1.0,1.0,3,1125,93.0,0,10.0,0,0,111,0.0
4,1.0,2.0,1,90,99.0,2,10.0,2,8,15,0.0
6,3.0,4.0,2,1125,86.0,1,9.0,1,1,80,1.0
2,1.0,1.0,1,7,99.0,0,10.0,0,0,0,0.0
15,4.0,7.0,2,1125,98.0,20,10.0,38,59,327,1.0
2,1.0,1.0,2,31,97.0,13,10.0,29,53,327,1.0
4,2.0,3.0,2,21,97.0,6,10.0,20,21,268,1.0
2,1.0,1.0,2,31,98.0,3,10.0,28,58,332,1.0
6,2.0,4.0,1,365,99.0,11,10.0,18,26,255,1.0
4,2.0,2.0,2,1125,100.0,12,10.0,37,67,337,1.0
4,2.0,2.0,1,365,100.0,5,10.0,25,45,291,1.0
8,3.0,4.0,2,1125,96.0,15,10.0,36,54,323,1.0
14,3.0,5.0,1,1125,99.0,16,10.0,30,41,292,0.0
6,3.0,3.0,2,1125,100.0,12,10.0,33,63,332,0.0
2,1.0,1.0,1,365,100.0,18,10.0,36,63,296,1.0
6,2.0,2.0,1,365,99.0,10,10.0,33,63,338,1.0
6,3.0,3.0,2,365,98.0,21,10.0,51,68,322,1.0
2,1.0,1.0,1,5,100.0,0,10.0,10,38,119,0.0
12,5.0,6.0,2,365,100.0,0,10.0,1,2,125,1.0
4,2.0,3.0,2,365,100.0,9,10.0,38,68,317,1.0
14,5.0,7.0,2,365,99.0,21,10.0,41,59,313,1.0
4,2.0,2.0,2,1125,91.0,23,10.0,48,78,353,0.0
4,1.0,2.0,1,365,94.0,0,10.0,0,0,0,0.0
16,6.0,7.0,2,28,99.0,7,10.0,13,18,124,1.0
4,1.0,2.0,2,365,94.0,3,10.0,24,51,217,0.0
6,2.0,2.0,1,365,93.0,15,10.0,29,54,217,1.0
6,2.0,3.0,1,365,97.0,6,10.0,18,43,209,1.0
8,2.0,3.0,2,60,99.0,3,10.0,5,15,237,1.0
4,1.0,2.0,1,365,92.0,7,10.0,29,59,226,0.0
5,1.0,2.0,1,1125,99.0,12,10.0,30,54,319,0.0
6,2.0,3.0,1,365,97.0,14,10.0,33,62,328,1.0
4,2.0,3.0,1,1125,97.0,9,10.0,26,56,306,1.0
16,7.0,11.0,2,365,100.0,22,10.0,28,48,267,1.0
6,2.0,2.0,2,365,100.0,16,10.0,42,72,344,1.0
4,1.0,2.0,1,365,90.0,4,10.0,26,56,222,0.0
8,4.0,5.0,2,365,100.0,16,10.0,32,38,307,1.0
6,2.0,3.0,1,365,94.0,12,10.0,29,59,221,1.0
5,1.0,5.0,1,7,97.0,18,10.0,43,73,162,0.0
4,2.0,2.0,4,30,99.0,10,10.0,15,45,176,1.0
4,1.0,1.0,2,31,97.0,22,10.0,52,82,171,0.0
6,2.0,3.0,1,365,97.0,9,10.0,32,52,218,1.0
4,1.0,2.0,1,365,96.0,4,10.0,11,22,189,1.0
4,1.0,2.0,1,1125,98.0,0,10.0,9,11,229,1.0
3,1.0,2.0,2,14,97.0,11,10.0,37,67,341,0.0
4,1.0,2.0,1,365,94.0,15,10.0,38,68,235,1.0
4,1.0,1.0,1,365,99.0,15,10.0,36,66,233,1.0
4,1.0,2.0,1,365,95.0,3,10.0,24,54,221,1.0
10,5.0,5.0,3,1125,88.0,15,9.0,32,48,298,1.0
4,1.0,2.0,1,365,99.0,1,10.0,1,1,2,1.0
6,2.0,3.0,1,365,95.0,10,10.0,34,64,230,1.0
6,2.0,3.0,1,365,95.0,9,10.0,24,45,201,1.0
4,1.0,2.0,1,365,92.0,9,10.0,31,61,227,0.0
6,2.0,3.0,1,365,99.0,21,10.0,44,72,344,1.0
6,2.0,3.0,1,365,97.0,2,10.0,21,37,284,1.0
4,1.0,2.0,1,365,99.0,6,10.0,25,50,204,1.0
4,1.0,2.0,1,365,93.0,23,10.0,53,83,250,0.0
6,2.0,3.0,1,365,97.0,2,10.0,9,25,260,1.0
4,1.0,2.0,1,365,99.0,10,10.0,32,49,213,1.0
4,1.0,2.0,2,1125,99.0,12,10.0,38,68,343,1.0
4,1.0,2.0,1,365,99.0,16,10.0,43,70,237,1.0
4,2.0,2.0,2,365,100.0,6,10.0,6,25,164,1.0
4,2.0,2.0,2,365,93.0,0,10.0,0,0,0,1.0
4,2.0,2.0,2,365,100.0,11,10.0,31,57,330,1.0
4,2.0,2.0,2,365,100.0,10,10.0,33,63,337,1.0
4,2.0,2.0,2,365,100.0,10,9.0,34,64,338,1.0
4,1.0,2.0,1,365,98.0,16,10.0,46,60,218,1.0
6,2.0,3.0,1,365,98.0,13,10.0,33,56,219,1.0
4,2.0,2.0,2,1125,83.0,14,9.0,34,64,339,0.0
2,1.0,1.0,1,30,99.0,14,10.0,18,33,123,0.0
16,4.0,7.0,2,1125,100.0,9,10.0,23,34,286,1.0
8,3.0,3.0,2,10,100.0,0,10.0,0,0,15,1.0
10,4.0,6.0,2,365,100.0,16,10.0,31,48,315,1.0
6,3.0,4.0,2,365,98.0,13,10.0,27,38,283,1.0
6,2.0,2.0,1,365,98.0,9,10.0,32,57,209,1.0
4,2.0,2.0,2,365,87.0,15,10.0,29,52,315,1.0
4,2.0,3.0,2,365,80.0,15,8.0,30,49,302,1.0
8,3.0,4.0,1,365,94.0,15,10.0,21,34,243,1.0
6,3.0,3.0,2,365,100.0,28,10.0,43,52,288,1.0
6,3.0,3.0,2,365,96.0,14,10.0,21,45,295,1.0
4,2.0,2.0,1,30,96.0,0,9.0,1,31,204,0.0
13,4.0,5.0,3,1125,99.0,14,10.0,21,32,180,1.0
4,2.0,2.0,2,1125,98.0,4,10.0,18,42,317,1.0
2,1.0,1.0,1,1125,99.0,2,10.0,15,39,257,1.0
2,1.0,1.0,1,1125,99.0,21,9.0,40,60,267,1.0
13,4.0,7.0,30,1125,100.0,25,10.0,42,52,266,1.0
2,1.0,1.0,1,28,100.0,23,10.0,50,78,78,0.0
4,2.0,2.0,1,29,98.0,14,10.0,18,33,123,0.0
6,2.0,3.0,1,365,96.0,9,10.0,24,43,312,1.0
4,1.0,2.0,2,30,98.0,11,10.0,34,41,41,0.0
2,1.0,1.0,2,1125,99.0,9,10.0,26,48,48,0.0
3,1.0,1.0,2,1125,100.0,0,10.0,0,18,106,0.0
2,1.0,1.0,20,1125,100.0,1,10.0,2,2,23,0.0
4,2.0,2.0,1,365,96.0,10,10.0,32,59,225,1.0
4,2.0,2.0,2,7,99.0,18,10.0,38,60,327,1.0
6,2.0,3.0,3,30,99.0,0,10.0,0,0,0,1.0
2,1.0,1.0,2,21,100.0,21,10.0,37,55,55,0.0
6,3.0,3.0,2,365,93.0,23,10.0,53,78,353,1.0
7,2.0,3.0,2,14,100.0,12,10.0,31,61,159,1.0
3,1.0,2.0,2,15,100.0,14,10.0,34,64,162,1.0
3,1.0,1.0,2,14,98.0,9,10.0,37,67,170,1.0
2,1.0,1.0,3,31,99.0,3,10.0,20,28,176,1.0
7,3.0,3.0,30,1125,100.0,0,10.0,1,21,72,1.0
2,1.0,2.0,30,1125,100.0,0,10.0,0,0,230,0.0
4,1.0,2.0,1,28,100.0,12,10.0,25,36,304,0.0
3,1.0,1.0,2,14,100.0,19,10.0,47,77,181,0.0
4,1.0,1.0,1,11,99.0,2,10.0,3,7,198,0.0
8,3.0,4.0,2,1125,99.0,9,10.0,17,25,274,1.0
2,1.0,1.0,2,1125,96.0,17,9.0,39,69,69,0.0
4,2.0,2.0,2,29,100.0,18,10.0,34,52,52,1.0
8,3.0,3.0,1,365,100.0,10,10.0,13,24,135,1.0
4,1.0,2.0,1,365,98.0,4,10.0,24,49,216,1.0
13,4.0,7.0,2,1125,95.0,0,10.0,13,29,290,1.0
3,1.0,2.0,2,1125,96.0,19,10.0,44,74,345,0.0
2,1.0,1.0,1,1125,98.0,0,10.0,0,0,78,0.0
6,3.0,3.0,3,1125,96.0,14,9.0,37,54,303,1.0
4,2.0,2.0,2,365,94.0,11,10.0,34,64,332,1.0
2,1.0,1.0,1,365,100.0,21,10.0,43,71,313,1.0
2,1.0,1.0,2,365,100.0,15,10.0,39,69,311,1.0
2,1.0,1.0,1,365,100.0,18,10.0,48,76,317,1.0
2,1.0,1.0,1,1125,98.0,18,10.0,41,70,70,0.0
2,1.0,1.0,1,1125,94.0,15,10.0,31,61,332,0.0
8,3.0,5.0,3,1125,83.0,28,10.0,52,75,350,1.0
2,1.0,1.0,1,365,100.0,22,10.0,52,82,330,1.0
2,1.0,1.0,1,22,98.0,17,10.0,26,26,26,0.0
7,2.0,4.0,29,1125,100.0,12,10.0,16,16,263,0.0
6,3.0,4.0,2,1125,97.0,11,10.0,29,52,312,1.0
2,1.0,1.0,60,90,100.0,6,10.0,6,6,270,0.0
5,3.0,3.0,29,1125,100.0,9,10.0,21,22,115,0.0
3,1.0,2.0,2,90,100.0,15,10.0,17,17,94,0.0
7,3.0,4.0,30,150,100.0,0,10.0,24,54,71,1.0
2,1.0,1.0,2,10,100.0,0,10.0,0,0,0,0.0
6,2.0,3.0,1,1125,98.0,19,10.0,34,61,331,0.0
2,1.0,1.0,1,1125,100.0,2,10.0,2,11,217,0.0
3,1.0,1.0,2,15,100.0,6,10.0,24,54,156,1.0
4,2.0,2.0,2,365,92.0,0,10.0,0,0,0,0.0
4,2.0,2.0,2,5,100.0,0,10.0,10,38,121,0.0
8,3.0,5.0,1,365,95.0,12,10.0,29,54,322,1.0
4,2.0,2.0,2,1125,99.0,16,10.0,29,59,138,0.0
5,2.0,2.0,2,28,100.0,4,10.0,15,17,91,1.0
4,1.0,2.0,1,1125,100.0,1,10.0,5,10,80,0.0
9,3.0,5.0,3,1125,98.0,23,10.0,53,83,358,1.0
4,2.0,2.0,2,30,100.0,0,10.0,0,0,0,0.0
6,2.0,3.0,1,365,100.0,10,10.0,28,46,284,1.0
6,1.0,5.0,1,1125,98.0,23,10.0,52,82,357,0.0
10,4.0,6.0,3,1125,100.0,11,10.0,13,25,265,1.0
2,1.0,1.0,2,1125,91.0,16,9.0,39,69,344,0.0
4,1.0,2.0,1,4,98.0,0,10.0,0,0,0,0.0
4,2.0,2.0,2,1125,85.0,7,10.0,11,11,239,0.0
2,1.0,1.0,30,1125,100.0,30,10.0,60,90,270,1.0
6,1.0,2.0,2,10,99.0,12,10.0,31,59,145,0.0
2,1.0,1.0,1,3,91.0,2,9.0,11,20,76,0.0
6,3.0,3.0,3,28,100.0,11,10.0,24,26,116,0.0
3,1.0,1.0,1,4,99.0,0,10.0,0,0,0,0.0
2,1.0,1.0,2,1125,100.0,5,10.0,9,13,25,0.0
2,1.0,1.0,1,4,97.0,18,10.0,35,65,65,0.0
4,2.0,2.0,30,180,100.0,0,10.0,0,0,0,0.0
2,1.0,1.0,2,30,100.0,1,10.0,21,24,215,0.0
2,1.0,1.0,2,14,100.0,5,10.0,12,25,175,0.0
6,2.0,2.0,1,365,96.0,12,10.0,24,39,305,1.0
8,4.0,5.0,2,1125,100.0,21,10.0,44,71,339,1.0
6,3.0,2.0,1,365,92.0,30,10.0,49,71,346,1.0
6,2.0,3.0,1,1125,97.0,21,10.0,38,65,335,0.0
4,1.0,2.0,1,1125,100.0,2,10.0,15,20,86,1.0
4,1.0,2.0,2,7,100.0,29,10.0,59,89,364,0.0
5,2.0,3.0,28,1125,100.0,0,10.0,2,2,204,1.0
2,1.0,1.0,2,1125,100.0,15,10.0,45,75,350,0.0
4,1.0,2.0,1,1125,98.0,0,10.0,0,0,0,0.0
5,2.0,2.0,2,28,100.0,4,10.0,9,15,64,1.0
4,2.0,2.0,2,8,95.0,16,9.0,42,72,72,1.0
4,1.0,2.0,2,28,100.0,10,10.0,19,29,119,1.0
4,1.0,2.0,2,28,100.0,13,10.0,22,41,131,1.0
5,2.0,2.0,2,28,100.0,12,10.0,19,32,96,1.0
6,2.0,3.0,1,365,96.0,0,10.0,0,0,0,1.0
4,2.0,2.0,2,31,100.0,4,10.0,14,41,151,1.0
2,1.0,1.0,2,5,100.0,6,10.0,13,24,102,0.0
3,1.0,2.0,2,1125,100.0,9,10.0,27,52,327,0.0
12,5.0,7.0,1,365,100.0,11,10.0,19,29,268,1.0
4,1.0,2.0,2,1125,100.0,8,10.0,18,36,311,0.0
4,1.0,1.0,1,1125,98.0,4,10.0,19,42,130,0.0
4,1.0,2.0,1,1125,100.0,8,10.0,11,29,31,0.0
3,1.0,1.0,2,28,100.0,7,10.0,13,37,127,1.0
4,2.0,2.0,2,1125,97.0,11,10.0,20,22,297,1.0
6,3.0,3.0,30,365,100.0,0,10.0,0,0,229,0.0
2,1.0,1.0,2,7,100.0,2,10.0,28,52,52,0.0
8,2.0,4.0,3,1125,100.0,8,10.0,30,60,333,1.0
3,1.0,1.0,2,28,100.0,9,10.0,19,26,111,1.0
2,1.0,1.0,1,365,100.0,4,10.0,10,17,239,0.0
8,4.0,4.0,2,1125,100.0,11,10.0,31,56,331,1.0
6,2.0,3.0,1,365,100.0,4,10.0,12,35,116,1.0
4,1.0,2.0,1,365,100.0,17,10.0,36,66,341,1.0
6,2.0,4.0,1,365,100.0,11,10.0,22,47,317,1.0
11,5.0,6.0,2,1125,100.0,20,10.0,36,51,301,1.0
12,3.0,6.0,1,1125,80.0,0,10.0,0,0,0,1.0
2,1.0,1.0,2,31,100.0,28,10.0,58,87,87,0.0
4,1.0,1.0,2,4,100.0,25,10.0,55,85,85,0.0
4,2.0,2.0,60,365,97.0,0,10.0,0,0,178,0.0
2,1.0,1.0,90,180,96.0,0,10.0,0,0,0,0.0
4,2.0,4.0,60,1125,97.0,0,10.0,0,0,211,1.0
2,1.0,1.0,28,1125,99.0,19,10.0,22,51,326,0.0
3,1.0,1.0,2,3,98.0,4,10.0,10,10,10,0.0
6,2.0,2.0,30,120,94.0,30,9.0,60,90,234,0.0
4,1.0,2.0,1,1125,98.0,6,10.0,10,23,229,0.0
6,2.0,2.0,2,90,95.0,14,10.0,39,55,145,1.0
4,1.0,1.0,1,1125,98.0,7,10.0,20,37,253,0.0
2,1.0,1.0,2,160,98.0,1,10.0,5,21,172,0.0
2,1.0,1.0,2,180,99.0,8,10.0,9,9,9,0.0
16,6.0,9.0,2,365,98.0,10,10.0,35,54,264,1.0
8,3.0,3.0,2,365,94.0,18,10.0,40,64,332,1.0
